time      	close   	Volume

2014-07-05	631.88  	NaN
   
2014-07-06	637.38  	NaN
   
2014-07-07	621.45  	NaN
   
2014-07-08	625.36  	NaN
   
2014-07-09	624.47  	NaN
   
2014-07-10	615.84  	NaN
   
2014-07-11	636.00  	NaN
   
2014-07-12	636.31  	NaN
   
2014-07-13	629.49  	NaN
   
2014-07-14	619.17  	NaN
   
2014-07-15	620.80  	NaN
   
2014-07-16	616.48  	NaN
   
2014-07-17	622.51  	NaN
   
2014-07-18	630.80  	NaN
   
2014-07-19	629.30  	NaN
   
2014-07-20	624.00  	NaN
   
2014-07-21	620.01  	NaN
   
2014-07-22	618.54  	NaN
   
2014-07-23	619.00  	NaN
   
2014-07-24	603.98  	NaN
   
2014-07-25	600.47  	NaN
   
2014-07-26	593.82  	NaN
   
2014-07-27	591.55  	NaN
   
2014-07-28	583.50  	NaN
   
2014-07-29	583.00  	NaN
   
2014-07-30	565.99  	NaN
   
2014-07-31	580.00  	NaN
   
2014-08-01	594.60  	NaN
   
2014-08-02	587.60  	NaN
   
2014-08-03	585.71  	NaN
   
2014-08-04	586.60  	NaN
   
2014-08-05	582.94  	NaN
   
2014-08-06	581.36  	NaN
   
2014-08-07	586.80  	NaN
   
2014-08-08	590.60  	NaN
   
2014-08-09	589.98  	NaN
   
2014-08-10	588.61  	NaN
   
2014-08-11	572.51  	NaN
   
2014-08-12	569.54  	NaN
   
2014-08-13	547.30  	NaN
   
2014-08-14	510.98  	NaN
   
2014-08-15	496.39  	NaN
   
2014-08-16	519.01  	NaN
   
2014-08-17	497.40  	NaN
   
2014-08-18	467.04  	NaN
   
2014-08-19	487.00  	NaN
   
2014-08-20	511.00  	NaN
   
2014-08-21	517.47  	NaN
   
2014-08-22	514.13  	NaN
   
2014-08-23	499.50  	NaN
   
2014-08-24	510.82  	NaN
   
2014-08-25	501.76  	NaN
   
2014-08-26	513.34  	NaN
   
2014-08-27	508.35  	NaN
   
2014-08-28	505.87  	NaN
   
2014-08-29	508.52  	NaN
   
2014-08-30	499.15  	NaN
   
2014-08-31	477.81  	NaN
   
2014-09-01	472.60  	NaN
   
2014-09-02	475.45  	NaN
   
2014-09-03	474.14  	NaN
   
2014-09-04	489.68  	NaN
   
2014-09-05	481.90  	NaN
   
2014-09-06	482.61  	NaN
   
2014-09-07	479.88  	NaN
   
2014-09-08	471.10  	NaN
   
2014-09-09	473.06  	NaN
   
2014-09-10	478.12  	NaN
   
2014-09-11	477.38  	NaN
   
2014-09-12	474.37  	NaN
   
2014-09-13	478.69  	NaN
   
2014-09-14	476.50  	NaN
   
2014-09-15	474.77  	NaN
   
2014-09-16	466.50  	NaN
   
2014-09-17	458.30  	NaN
   
2014-09-18	424.99  	NaN
   
2014-09-19	393.30  	NaN
   
2014-09-20	408.40  	NaN
   
2014-09-21	399.21  	NaN
   
2014-09-22	404.99  	NaN
   
2014-09-23	438.65  	NaN
   
2014-09-24	424.51  	NaN
   
2014-09-25	409.86  	NaN
   
2014-09-26	404.01  	NaN
   
2014-09-27	399.80  	NaN
   
2014-09-28	376.70  	NaN
   
2014-09-29	373.64  	NaN
   
2014-09-30	387.00  	NaN
   
2014-10-01	383.63  	NaN
   
2014-10-02	371.39  	NaN
   
2014-10-03	359.74  	NaN
   
2014-10-04	328.25  	NaN
   
2014-10-05	319.90  	NaN
   
2014-10-06	327.56  	NaN
   
2014-10-07	335.97  	NaN
   
2014-10-08	352.90  	NaN
   
2014-10-09	364.00  	NaN
   
2014-10-10	359.10  	NaN
   
2014-10-11	360.66  	NaN
   
2014-10-12	378.05  	NaN
   
2014-10-13	391.20  	NaN
   
2014-10-14	399.00  	NaN
   
2014-10-15	394.20  	NaN
   
2014-10-16	381.60  	NaN
   
2014-10-17	382.48  	NaN
   
2014-10-18	390.90  	NaN
   
2014-10-19	388.02  	NaN
   
2014-10-20	380.55  	NaN
   
2014-10-21	384.00  	NaN
   
2014-10-22	378.80  	NaN
   
2014-10-23	357.87  	NaN
   
2014-10-24	356.58  	NaN
   
2014-10-25	344.62  	NaN
   
2014-10-26	353.01  	NaN
   
2014-10-27	349.01  	NaN
   
2014-10-28	352.70  	NaN
   
2014-10-29	333.58  	NaN
   
2014-10-30	345.08  	NaN
   
2014-10-31	336.82  	NaN
   
2014-11-01	325.90  	NaN
   
2014-11-02	323.82  	NaN
   
2014-11-03	325.00  	NaN
   
2014-11-04	329.66  	NaN
   
2014-11-05	338.62  	NaN
   
2014-11-06	350.48  	NaN
   
2014-11-07	341.84  	NaN
   
2014-11-08	345.00  	NaN
   
2014-11-09	362.61  	NaN
   
2014-11-10	366.07  	NaN
   
2014-11-11	367.65  	NaN
   
2014-11-12	433.56  	NaN
   
2014-11-13	417.65  	NaN
   
2014-11-14	399.99  	NaN
   
2014-11-15	375.34  	NaN
   
2014-11-16	391.65  	NaN
   
2014-11-17	387.50  	NaN
   
2014-11-18	372.85  	NaN
   
2014-11-19	375.26  	NaN
   
2014-11-20	356.77  	NaN
   
2014-11-21	350.46  	NaN
   
2014-11-22	352.81  	NaN
   
2014-11-23	368.25  	NaN
   
2014-11-24	376.05  	NaN
   
2014-11-25	377.02  	NaN
   
2014-11-26	369.99  	NaN
   
2014-11-27	370.00  	NaN
   
2014-11-28	377.43  	NaN
   
2014-11-29	376.28  	NaN
   
2014-11-30	379.89  	NaN
   
2014-12-01	382.00  	NaN
   
2014-12-02	384.50  	NaN
   
2014-12-03	376.00  	NaN
   
2014-12-04	370.99  	NaN
   
2014-12-05	378.18  	NaN
   
2014-12-06	376.69  	NaN
   
2014-12-07	376.02  	NaN
   
2014-12-08	362.11  	NaN
   
2014-12-09	351.99  	NaN
   
2014-12-10	345.08  	NaN
   
2014-12-11	348.53  	NaN
   
2014-12-12	352.29  	NaN
   
2014-12-13	346.56  	NaN
   
2014-12-14	353.65  	NaN
   
2014-12-15	346.01  	NaN
   
2014-12-16	325.10  	NaN
   
2014-12-17	318.86  	NaN
   
2014-12-18	311.77  	NaN
   
2014-12-19	318.47  	NaN
   
2014-12-20	329.66  	NaN
   
2014-12-21	320.79  	NaN
   
2014-12-22	332.63  	NaN
   
2014-12-23	335.70  	NaN
   
2014-12-24	322.61  	NaN
   
2014-12-25	318.50  	NaN
   
2014-12-26	327.20  	NaN
   
2014-12-27	315.89  	NaN
   
2014-12-28	316.94  	NaN
   
2014-12-29	312.64  	NaN
   
2014-12-30	310.80  	NaN
   
2014-12-31	322.30  	NaN
   
2015-01-01	314.96  	NaN
   
2015-01-02	315.81  	NaN
   
2015-01-03	278.22  	NaN
   
2015-01-04	264.19  	NaN
   
2015-01-05	274.84  	NaN
   
2015-01-06	288.43  	NaN
   
2015-01-07	297.99  	NaN
   
2015-01-08	283.21  	NaN
   
2015-01-09	290.51  	NaN
   
2015-01-10	276.03  	NaN
   
2015-01-11	267.27  	NaN
   
2015-01-12	268.75  	NaN
   
2015-01-13	228.07  	NaN
   
2015-01-14	182.00  	NaN
   
2015-01-15	209.81  	NaN
   
2015-01-16	208.50  	NaN
   
2015-01-17	201.09  	NaN
   
2015-01-18	211.03  	NaN
   
2015-01-19	216.20  	NaN
   
2015-01-20	212.11  	NaN
   
2015-01-21	228.08  	NaN
   
2015-01-22	234.70  	NaN
   
2015-01-23	233.12  	NaN
   
2015-01-24	248.66  	NaN
   
2015-01-25	254.73  	NaN
   
2015-01-26	276.01  	NaN
   
2015-01-27	265.09  	NaN
   
2015-01-28	234.50  	NaN
   
2015-01-29	233.01  	NaN
   
2015-01-30	226.44  	NaN
   
2015-01-31	215.80  	NaN
   
2015-02-01	226.92  	NaN
   
2015-02-02	238.99  	NaN
   
2015-02-03	227.96  	NaN
   
2015-02-04	227.78  	NaN
   
2015-02-05	216.47  	NaN
   
2015-02-06	222.65  	NaN
   
2015-02-07	228.80  	NaN
   
2015-02-08	223.85  	NaN
   
2015-02-09	220.48  	NaN
   
2015-02-10	220.87  	NaN
   
2015-02-11	219.80  	NaN
   
2015-02-12	222.55  	NaN
   
2015-02-13	236.13  	NaN
   
2015-02-14	257.00  	NaN
   
2015-02-15	235.88  	NaN
   
2015-02-16	233.50  	NaN
   
2015-02-17	244.00  	NaN
   
2015-02-18	236.27  	NaN
   
2015-02-19	240.00  	NaN
   
2015-02-20	244.50  	NaN
   
2015-02-21	245.54  	NaN
   
2015-02-22	236.50  	NaN
   
2015-02-23	239.40  	NaN
   
2015-02-24	239.73  	NaN
   
2015-02-25	237.99  	NaN
   
2015-02-26	236.93  	NaN
   
2015-02-27	255.05  	NaN
   
2015-02-28	255.70  	NaN
   
2015-03-01	262.40  	NaN
   
2015-03-02	277.41  	NaN
   
2015-03-03	283.75  	NaN
   
2015-03-04	273.33  	NaN
   
2015-03-05	277.69  	NaN
   
2015-03-06	273.36  	NaN
   
2015-03-07	276.97  	NaN
   
2015-03-08	275.59  	NaN
   
2015-03-09	291.00  	NaN
   
2015-03-10	292.62  	NaN
   
2015-03-11	296.70  	NaN
   
2015-03-12	295.50  	NaN
   
2015-03-13	283.19  	NaN
   
2015-03-14	282.60  	NaN
   
2015-03-15	286.90  	NaN
   
2015-03-16	291.19  	NaN
   
2015-03-17	285.25  	NaN
   
2015-03-18	257.21  	NaN
   
2015-03-19	261.98  	NaN
   
2015-03-20	262.19  	NaN
   
2015-03-21	260.47  	NaN
   
2015-03-22	268.82  	NaN
   
2015-03-23	267.23  	NaN
   
2015-03-24	246.00  	NaN
   
2015-03-25	246.29  	NaN
   
2015-03-26	249.33  	NaN
   
2015-03-27	246.50  	NaN
   
2015-03-28	252.95  	NaN
   
2015-03-29	242.74  	NaN
   
2015-03-30	247.93  	NaN
   
2015-03-31	244.51  	NaN
   
2015-04-01	246.93  	NaN
   
2015-04-02	253.23  	NaN
   
2015-04-03	254.24  	NaN
   
2015-04-04	253.60  	NaN
   
2015-04-05	260.50  	NaN
   
2015-04-06	255.73  	NaN
   
2015-04-07	253.70  	NaN
   
2015-04-08	244.92  	NaN
   
2015-04-09	243.58  	NaN
   
2015-04-10	236.12  	NaN
   
2015-04-11	236.86  	NaN
   
2015-04-12	236.38  	NaN
   
2015-04-13	224.90  	NaN
   
2015-04-14	220.16  	NaN
   
2015-04-15	223.98  	NaN
   
2015-04-16	228.14  	NaN
   
2015-04-17	222.40  	NaN
   
2015-04-18	223.08  	NaN
   
2015-04-19	222.16  	NaN
   
2015-04-20	224.21  	NaN
   
2015-04-21	236.96  	NaN
   
2015-04-22	234.14  	NaN
   
2015-04-23	236.01  	NaN
   
2015-04-24	231.38  	NaN
   
2015-04-25	226.01  	NaN
   
2015-04-26	219.70  	NaN
   
2015-04-27	227.13  	NaN
   
2015-04-28	225.30  	NaN
   
2015-04-29	225.23  	NaN
   
2015-04-30	236.11  	NaN
   
2015-05-01	231.78  	NaN
   
2015-05-02	234.81  	NaN
   
2015-05-03	240.57  	NaN
   
2015-05-04	238.54  	NaN
   
2015-05-05	235.87  	NaN
   
2015-05-06	229.27  	NaN
   
2015-05-07	237.30  	NaN
   
2015-05-08	244.50  	NaN
   
2015-05-09	242.54  	NaN
   
2015-05-10	240.73  	NaN
   
2015-05-11	242.46  	NaN
   
2015-05-12	241.92  	NaN
   
2015-05-13	235.70  	NaN
   
2015-05-14	236.68  	NaN
   
2015-05-15	237.30  	NaN
   
2015-05-16	235.70  	NaN
   
2015-05-17	236.15  	NaN
   
2015-05-18	232.82  	NaN
   
2015-05-19	231.70  	NaN
   
2015-05-20	234.24  	NaN
   
2015-05-21	235.27  	NaN
   
2015-05-22	240.97  	NaN
   
2015-05-23	238.81  	NaN
   
2015-05-24	240.96  	NaN
   
2015-05-25	237.10  	NaN
   
2015-05-26	237.36  	NaN
   
2015-05-27	236.85  	NaN
   
2015-05-28	236.86  	NaN
   
2015-05-29	236.52  	NaN
   
2015-05-30	232.54  	NaN
   
2015-05-31	228.70  	NaN
   
2015-06-01	222.00  	NaN
   
2015-06-02	224.68  	NaN
   
2015-06-03	225.11  	NaN
   
2015-06-04	223.24  	NaN
   
2015-06-05	224.51  	NaN
   
2015-06-06	225.66  	NaN
   
2015-06-07	223.26  	NaN
   
2015-06-08	228.76  	NaN
   
2015-06-09	229.06  	NaN
   
2015-06-10	228.60  	NaN
   
2015-06-11	230.00  	NaN
   
2015-06-12	229.55  	NaN
   
